gfx,gfy,gfz,pil0_fx,pil0_fy,pil0_fz,pil0_contact,pil1_fx,pil1_fy,pil1_fz,pil1_contact,pil2_fx,pil2_fy,pil2_fz,pil2_contact,pil3_fx,pil3_fy,pil3_fz,pil3_contact,pil4_fx,pil4_fy,pil4_fz,pil4_contact,pil5_fx,pil5_fy,pil5_fz,pil5_contact,pil6_fx,pil6_fy,pil6_fz,pil6_contact,pil7_fx,pil7_fy,pil7_fz,pil7_contact,pil8_fx,pil8_fy,pil8_fz,pil8_contact,position,angle
0.490637541,-0.033077102,2.187106609,-0.005131287,0.008558616,0.016914597,0,0.029733771,-0.009271202,0.020452006,0,0.004798833,-0.001948455,0.235235989,0,0.002032388,0.001925719,0.008467896,0,0.649758637,0.018104378,0.343849093,0,-0.381512493,-0.01862053,1.132441878,1,-0.001326953,0.000830719,-0.002529023,0,0.429737747,-0.025598567,0.161226079,0,-0.237453088,-0.007057782,0.271048218,0,-3.808054686,0.812651575
-0.264455765,-0.017592058,3.211019993,0.016908398,-0.005758273,0.008340917,0,0.017741872,0.000807523,0.015559785,0,-0.10477104,0.032206338,0.278010786,0,0.001128661,0.0085308,0.0089327,0,0.014098463,0.009504194,0.035907291,0,-0.012899868,0.014489355,1.360238552,1,0.001365854,0.027792107,0.048053294,0,0.007329002,-0.016937695,0.013846321,0,-0.205357105,-0.0882264,1.442130446,1,-3.808054686,-0.812651575
0.747811079,-0.249824211,2.709452868,-0.007436114,0.008359746,0.01362704,0,0.244587436,0.026437156,0.134530902,0,0.007243834,-0.01912234,0.016860425,0,0.002389301,0.002746656,0.0088324,0,0.88520509,-0.068223335,0.698806107,1,-0.465838224,-0.056460347,1.05306673,1,-0.001324951,0.000696742,-0.005029903,0,0.531148911,-0.086011782,0.224780843,0,-0.448164195,-0.058246717,0.563978434,1,-3.698873758,-0.394230783
-0.933913708,-0.05032742,4.428408623,-0.002033511,-0.009685026,0.013807992,0,0.014778632,-0.005753839,0.011411433,0,-0.221732661,0.142762035,0.78074199,1,0.00285898,0.002965491,0.006528916,0,0.0191455,0.013484025,0.037920084,0,-0.155719027,0.073489673,1.767361522,1,-0.003514754,0.075688981,0.026101386,0,0.017163429,0.044421569,0.00316928,0,-0.604860306,-0.387700319,1.78136611,1,-3.698873758,0.394230783
1.286144733,-0.003634814,4.510754585,-0.009794936,0.009160214,0.007769382,0,0.132902652,0.097919106,0.771203279,1,0.001147598,-0.011767875,-0.015553922,0,0.001646777,0.003147631,-0.002714836,0,0.662053108,0.003556322,2.351132154,1,-0.057796419,0.006595966,0.034888953,0,-0.000426473,-0.000693936,-0.006360681,0,0.552624226,-0.129454911,1.352700353,1,0.003788213,0.017902669,0.017690176,0,-3.527191639,-0.268362343
-1.901473045,-0.753989816,6.38949585,-0.008175466,-0.012994234,0.017716985,0,0.232210979,-0.102063879,0.614590347,1,-0.502301574,0.154010877,0.682095408,1,-0.000988679,-0.000808762,0.002226433,0,0.289108664,-0.044144593,0.893525362,1,-0.83371079,-0.025939234,1.275277495,1,0.006332946,-0.015773172,0.038948737,0,0.34076798,-0.324357748,1.276099086,1,-1.424717069,-0.381919056,1.58901608,1,-3.527191639,0.268362343
1.11210084,0.009387126,3.6470263,0.036320914,0.031564087,0.836072862,1,0.00142586,-0.016657686,0.021449298,0,0.000824142,0.002873241,-0.040895239,0,0.515275657,-0.000970708,1.718150973,1,-0.001789527,-0.008288941,0.007311875,0,0.010138089,-0.001558801,-0.001709366,0,0.548740566,0.017981848,1.097131371,1,-0.000998008,-0.008354564,0.021419266,0,0.002163231,-0.007201349,-0.011904632,0,4.704442501,0.543071687
-1.553657532,0.656128347,5.25287962,0.267434061,-0.090439148,1.12039113,1,-0.834524512,0.393562347,0.211127743,0,0.001729236,0.005294008,-0.016191393,0,0.457017511,-0.0311813,1.755939603,1,-0.74066633,0.08436808,1.363199711,1,0.008562119,0.005291883,0.012364822,0,0.064561322,0.024949558,0.415559053,0,-0.765492976,0.202830508,0.402121156,0,-0.012278082,0.061452467,-0.011632033,0,4.704442501,-0.543071687
1.154822946,0.045557134,1.854557037,0.235221684,-0.014764649,0.392790914,0,-0.001464993,-0.014968673,0.025882971,0,0.000449834,0.007671781,-0.041682318,0,0.633988261,0.051791005,0.822613597,1,-0.148753211,-0.002593721,0.13318105,0,0.016347688,-0.000470664,-0.006245377,0,0.424118847,0.037193216,0.503506958,1,-0.007153008,-0.011644983,0.038801424,0,0.002067796,-0.006656179,-0.014292197,0,4.088927269,1.617333531
-1.220720172,0.547365308,3.96030283,0.056563877,-0.028496277,0.163823694,0,-0.630830765,0.338646352,0.581614375,1,0.000201704,0.001259414,-0.015430671,0,0.275231421,-0.024961939,0.28456527,0,-0.370873392,0.120723121,2.256129026,1,0.006579335,0.00726617,0.003149749,0,-0.005975677,0.074286342,-0.018127184,0,-0.5356462,0.008461854,0.711849988,1,-0.015970523,0.050180275,-0.007271335,0,4.088927269,-1.617333531
